smiles,pic50,scaffold,n_measurements
CC(=O)NCCNCc1ccc(NC(=O)c2cccc(-c3ccccc3)c2Cl)nc1F,6.24,O=C(Nc1ccccn1)c1cccc(-c2ccccc2)c1,1
CC(=O)NCCNCc1ccc(NCc2cccc(-c3ccccc3)c2C)cc1OCc1cccc(C#N)c1,5.31,c1ccc(COc2cccc(NCc3cccc(-c4ccccc4)c3)c2)cc1,1
CC(=O)NCCNCc1ccc(Nc2nnc(-c3cccc(-c4cccc(-c5nnc(Nc6cccc(CNCCNC(C)=O)c6)o5)c4C)c3C)o2)cc1,6.05,c1ccc(Nc2nnc(-c3cccc(-c4cccc(-c5nnc(Nc6ccccc6)o5)c4)c3)o2)cc1,1
CC(=O)NCCNCc1ccc(Nc2nsc3c(-c4cccc(COc5ccc(CNCCNC(C)=O)cc5Cl)c4C)cccc23)c(Cl)c1,7.84,c1ccc(Nc2nsc3c(-c4cccc(COc5ccccc5)c4)cccc23)cc1,1
CC(=O)NCCNCc1ccc(O)c(C(=O)C=Cc2cccc(-c3ccccc3)c2C)c1,5.28,O=C(C=Cc1cccc(-c2ccccc2)c1)c1ccccc1,1
CC(=O)NCCNCc1ccc(OC(=O)c2cccc(-c3ccccc3)c2C)cc1OCc1cccc(C#N)c1,6.3,O=C(Oc1cccc(OCc2ccccc2)c1)c1cccc(-c2ccccc2)c1,1
CC(=O)NCCNCc1ccc(OCc2ccc(COc3ccc(CNCCNC(C)=O)c(OCc4cncc(C#N)c4)c3)c3ccccc23)cc1OCc1cncc(C#N)c1,6.33,c1cncc(COc2cccc(OCc3ccc(COc4cccc(OCc5cccnc5)c4)c4ccccc34)c2)c1,1
CC(=O)NCCNCc1ccc(OCc2ccc(COc3ccc(CNCCNC(C)=O)c(OCc4cncc(C#N)c4)c3)cc2)cc1OCc1cncc(C#N)c1,5.08,c1cncc(COc2cccc(OCc3ccc(COc4cccc(OCc5cccnc5)c4)cc3)c2)c1,1
CC(=O)NCCNCc1ccc(OCc2ccc3cc(COc4ccc(CNCCNC(C)=O)c(OCc5cncc(C#N)c5)c4)ccc3c2)cc1OCc1cncc(C#N)c1,5.93,c1cncc(COc2cccc(OCc3ccc4cc(COc5cccc(OCc6cccnc6)c5)ccc4c3)c2)c1,1
CC(=O)NCCNCc1ccc(OCc2cccc(-c3cc(F)ccc3F)c2CF)cc1OCc1cncc(C#N)c1,7.0,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2Br)cc1OCc1cccc(C#N)c1,6.57,c1ccc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)cc1,1
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C(F)F)cc1OCc1cncc(C#N)c1,7.76,c1cncc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)c1,1
