chembl_id,stereo_id,conf_id,smiles,source_file,canon_smiles,pred_pIC50
CHEMBL84741,0,21,O=C(CCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,t1_f5_p3,O=C(CCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,6.499924182891846
CHEMBL309636,0,6,O=C(CCN1CCCCC1)N1CCc2c(nc(O)c3ccccc23)C1,t1_f5_p3,O=C(CCN1CCCCC1)N1CCc2c(nc(O)c3ccccc23)C1,6.415228366851807
CHEMBL2078767,0,3,Cc1ccc2c(c1)sc1c(=O)[nH]c3ccc(C(=O)NCCCN(C)C)cc3c12,t1_f5_p3,Cc1ccc2c(c1)sc1c(=O)[nH]c3ccc(C(=O)NCCCN(C)C)cc3c12,6.565977573394775
CHEMBL1530459,0,0,Cc1cccc(N2C(=O)/C(=C/c3ccc(N4CCN(C)CC4)o3)C(=O)NC2=S)c1C,t1_f5_p3,Cc1cccc(N2C(=O)/C(=C/c3ccc(N4CCN(C)CC4)o3)C(=O)NC2=S)c1C,6.931797027587891
CHEMBL3959475,0,34,NCCOc1c(-c2ccc(N3CCOCC3)c(Br)c2)[nH]c(=O)c2cc(F)ccc12,t1_f5_p3,NCCOc1c(-c2ccc(N3CCOCC3)c(Br)c2)[nH]c(=O)c2cc(F)ccc12,6.793280124664307
CHEMBL3654820,0,0,Cc1cc(-c2n[nH]c3cc(NC(=O)NCC4(N(C)C)CCC4)ncc23)ccn1,t1_f5_p3,Cc1cc(-c2n[nH]c3cc(NC(=O)NCC4(N(C)C)CCC4)ncc23)ccn1,6.571333408355713
CHEMBL3688053,0,0,O=C(c1cc(N2CCNCC2)cc(-c2ccc(Oc3ccc(F)cc3)cc2)n1)N1CCNCC1,t1_f5_p3,O=C(c1cc(N2CCNCC2)cc(-c2ccc(Oc3ccc(F)cc3)cc2)n1)N1CCNCC1,6.809213638305664
CHEMBL550197,0,0,CCn1cc(-c2nc3ccccc3o2)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,t1_f5_p3,CCn1cc(-c2nc3ccccc3o2)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,6.475756645202637
CHEMBL558720,0,0,CCn1cc(-c2nc3ccccc3s2)c(=O)c2cc(F)c(N3CCNCC3)cc21,t1_f5_p3,CCn1cc(-c2nc3ccccc3s2)c(=O)c2cc(F)c(N3CCNCC3)cc21,6.708899974822998
CHEMBL2315758,0,0,O=C(Nc1nc2ccc(C3=NCCN3)cc2[nH]1)c1cc2ccccc2o1,t1_f5_p3,O=C(Nc1nc2ccc(C3=NCCN3)cc2[nH]1)c1cc2ccccc2o1,6.217574119567871
CHEMBL4064584,0,18,CC1(N)CCN(c2nc(-c3ccc4cc(C(=O)O)ccc4c3)cs2)CC1,t1_f5_p3,CC1(N)CCN(c2nc(-c3ccc4cc(C(=O)O)ccc4c3)cs2)CC1,6.1532182693481445
CHEMBL3458003,0,2,CN(C)C(C)(C)CNCc1c[nH]nc1-c1cc2ccccc2o1,t1_f5_p3,CN(C)C(C)(C)CNCc1c[nH]nc1-c1cc2ccccc2o1,6.6473002433776855
CHEMBL3700816,0,0,O=C(c1ncccc1-c1ccc(-c2cnc3[nH]ccc3c2)c(F)c1)N1CCOCC1,t1_f5_p3,O=C(c1ncccc1-c1ccc(-c2cnc3[nH]ccc3c2)c(F)c1)N1CCOCC1,6.151780605316162
