smiles,pic50,scaffold,n_measurements,logS,substructure_match,generalized_match
CC(C)(CO)NCc1cnc2c(N3CCc4c(-c5ccccc5)cccc43)nccc2c1,7.35,c1ccc(-c2cccc3c2CCN3c2nccc3cccnc23)cc1,1,-5.340856552124023,0,0
CC(C)(CO)NCc1cnc2c(N3CCc4c(-c5ccccc5)cccc43)ncnc2c1,8.2,c1ccc(-c2cccc3c2CCN3c2ncnc3cccnc23)cc1,1,-4.392223358154297,0,0
CC(C)(NCc1cc(Cl)c(Oc2ncnc3c(-c4ccc5c(c4)OCCO5)cccc23)cc1OCc1cccc(C#N)c1)C(=O)O,7.05,c1ccc(COc2cccc(Oc3ncnc4c(-c5ccc6c(c5)OCCO6)cccc34)c2)cc1,1,-7.392644882202148,0,0
CC(C)(NCc1cc(Cl)c(Oc2ncnc3c(-c4ccccc4)cccc23)cc1OCc1cccc(C#N)c1)C(=O)O,6.82,c1ccc(COc2cccc(Oc3ncnc4c(-c5ccccc5)cccc34)c2)cc1,1,-7.487865924835205,0,0
CC(C)=CCOc1cc(OCc2cccc(-c3ccccc3)c2Br)c(Cl)cc1CNC(CO)C(=O)O,7.74,c1ccc(OCc2cccc(-c3ccccc3)c2)cc1,1,-6.852551460266113,0,0
CC(C)C(NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1)C(=O)O,6.7,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.173203945159912,0,0
CC(C)C(NCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)nsc2c1)C(=O)O,7.13,c1cc(Nc2nsc3ccccc23)cc(-c2ccc3c(c2)OCCO3)c1,1,-6.79744815826416,0,0
CC(C)CC(NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1)C(=O)O,7.21,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-6.959331512451172,0,0
CC(C)OC(=O)C(CO)NCc1cc(Cl)c(OCc2cccc(-c3ccc4c(c3)OCCO4)c2Br)cc1OCc1cccnc1,8.0,c1cncc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)c1,1,-6.987204551696777,0,0
CC(C)OC(=O)C(CO)NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1,7.34,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.257273197174072,0,0
CC(C)OC(=O)CN1CCc2nc(OCc3cccc(-c4ccccc4F)c3Cl)ccc2C1,6.36,c1ccc(-c2cccc(COc3ccc4c(n3)CCNC4)c2)cc1,1,-6.153201580047607,0,0
CC(C)OC(=O)N1CCC(c2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)CC1,7.82,c1cc(-c2nc(C3CCNCC3)cc(N3CCOCC3)n2)c2cc[nH]c2n1,1,-3.491215467453003,0,0
