smiles,pic50,scaffold,n_measurements
C=CC(=O)N[C@H]1CCC=C(c2ncnc3[nH]cc(-c4ccco4)c23)C1,6.48,C1=C(c2ncnc3[nH]cc(-c4ccco4)c23)CCCC1,1
C=CC(=O)N[C@H]1CCCC(c2ncnc3[nH]cc(-c4ccco4)c23)C1,5.835,c1coc(-c2c[nH]c3ncnc(C4CCCCC4)c23)c1,2
C=CC(=O)N[C@H]1CC[C@H](Cn2ccc3cnc(Nc4cnn(CC(=O)OCC)c4)nc32)CC1,6.26,c1n[nH]cc1Nc1ncc2ccn(CC3CCCCC3)c2n1,1
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1CCC(N(C)C)C1,6.22,c1cc(O[C@@H]2CO[C@@H]3CCO[C@@H]32)nc(Nc2ccc(N3CCCC3)cc2)n1,1
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1CCC(N(C)C)CC1,6.36,c1cc(O[C@@H]2CO[C@@H]3CCO[C@@H]32)nc(Nc2ccc(N3CCCCC3)cc2)n1,1
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1CCC(N2CCN(C)CC2)CC1,5.99,c1cc(O[C@@H]2CO[C@@H]3CCO[C@@H]32)nc(Nc2ccc(N3CCC(N4CCNCC4)CC3)cc2)n1,1
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1CCC2(CCN(C)CC2)CC1,5.97,c1cc(O[C@@H]2CO[C@@H]3CCO[C@@H]32)nc(Nc2ccc(N3CCC4(CCNCC4)CC3)cc2)n1,1
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1CCN(CC)CC1,6.44,c1cc(O[C@@H]2CO[C@@H]3CCO[C@@H]32)nc(Nc2ccc(N3CCNCC3)cc2)n1,1
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1C[C@@H]2C[C@H]1CO2,6.45,c1cc(O[C@@H]2CO[C@@H]3CCO[C@@H]32)nc(Nc2ccc(N3C[C@@H]4C[C@H]3CO4)cc2)n1,1
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(O[C@@H]3CO[C@H]4[C@@H]3OC[C@H]4O)n2)ccc1N1C[C@H]2C[C@@H]1CN2C,6.28,c1cc(O[C@@H]2CO[C@@H]3CCO[C@@H]32)nc(Nc2ccc(N3C[C@H]4C[C@@H]3CN4)cc2)n1,1
C=CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,6.0,c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,1
C=CC(=O)Nc1ccc(CNc2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)cc1,6.04,c1ccc(CNc2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)cc1,1
C=CC(=O)Nc1ccc(CNc2cc(Nc3cnn(CCO)c3)ncn2)cc1,5.68,c1ccc(CNc2cc(Nc3cn[nH]c3)ncn2)cc1,1
C=CC(=O)Nc1ccc(Cn2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)cc1,6.36,c1ccc(Cn2nc(-c3cc[nH]n3)c3cncnc32)cc1,1
C=CC(=O)Nc1ccc(Cn2nc(-c3cc(N4CCOCC4)n(C)n3)c3c(N)ncnc32)cc1,6.22,c1ccc(Cn2nc(-c3cc(N4CCOCC4)[nH]n3)c3cncnc32)cc1,1
C=CC(=O)Nc1ccc2ncn(-c3cncc(NC(C)(C)C)n3)c2c1,7.4,c1ccc2c(c1)ncn2-c1cnccn1,1
C=CC(=O)Nc1cccc(-c2cc(Nc3cnn(C)c3)ncn2)c1,5.65,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C=CC(=O)Nc1cccc(-c2cc(Nc3cnn(CCO)c3)ncn2)c1,5.59,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C=CC(=O)Nc1cccc(-c2cc(Nc3cnn(CCOC)c3)ncn2)c1,5.54,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C=CC(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c4c(c23)CCC(C(C)(C)O)C4)c1C,5.48,c1ccc(-c2cccc3[nH]c4c(c23)CCCC4)cc1,1
C=CC(=O)Nc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,5.75,c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,1
C=CC(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,6.1,c1ccc(-c2ncnc3[nH]ccc23)cc1,1
C=CC(=O)Nc1cccc(CNc2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)c1,6.03,c1ccc(CNc2cc(Nc3ccc(N4CCNCC4)cc3)ncn2)cc1,1
C=CC(=O)Nc1cccc(CNc2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)c1,5.96,c1ccc(CNc2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)cc1,1
C=CC(=O)Nc1cccc(CNc2cc(Nc3ccccc3)ncc2C(N)=O)c1,5.425,c1ccc(CNc2ccnc(Nc3ccccc3)c2)cc1,2
C=CC(=O)Nc1cccc(CNc2cc(Nc3cnn(CCOC)c3)ncn2)c1,5.69,c1ccc(CNc2cc(Nc3cn[nH]c3)ncn2)cc1,1
C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(N4CCOCC4)c(F)c3)ncc2Cl)c1,6.46,c1ccc(CNc2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,1
C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCN(CCCCNC(=O)CC5[C@H]6C[C@@H]7C[C@@H](C[C@H]5C7)C6)CC4)cc3)ncc2Cl)c1,6.38,O=C(CC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2)NCCCCN1CCN(c2ccc(Nc3nccc(NCc4ccccc4)n3)cc2)CC1,1
C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCN(CCCNC(=O)CC5[C@H]6C[C@H]7C[C@H](C6)C[C@@H]5C7)CC4)cc3)ncc2Cl)c1,5.92,O=C(CC1[C@H]2C[C@H]3C[C@H](C2)C[C@@H]1C3)NCCCN1CCN(c2ccc(Nc3nccc(NCc4ccccc4)n3)cc2)CC1,1
C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCN(CCCNC(=O)CC5[C@H]6C[C@H]7C[C@H](C6)C[C@@H]5C7)CC4)cc3OC)ncc2Cl)c1,5.51,O=C(CC1[C@H]2C[C@H]3C[C@H](C2)C[C@@H]1C3)NCCCN1CCN(c2ccc(Nc3nccc(NCc4ccccc4)n3)cc2)CC1,1
