SMILES,Comment,RDKit_SMILES (REINVENT),Score,PD1PDL1Sol_raw,PD1PDL1Sol_raw (raw)
COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,0.5222741365432739,0.52227414,0.52227414,-5.1739826
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C)(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCNC(C)=O,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C)(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCNC(C)=O,0.5280953645706177,0.52809536,0.52809536,-5.08486
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C)(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C)(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,0.5139826536178589,0.51398265,0.51398265,-5.3009253
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC6(C(=O)O)CCC5CC6)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC6(C(=O)O)CCC5CC6)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,0.4487296938896179,0.4487297,0.4487297,-6.299948
CCc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC6(CNC(=O)N6)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CC(O)C1,,CCc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC6(CNC(=O)N6)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CC(O)C1,0.5311396718025208,0.5311397,0.5311397,-5.038252
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(C)n4)c3Cl)c2Cl)cnc1CN1CC(CO)C1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(C)n4)c3Cl)c2Cl)cnc1CN1CC(CO)C1,0.5365707278251648,0.5365707,0.5365707,-4.9551024
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCOC1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCOC1,0.4891049563884735,0.48910496,0.48910496,-5.681803
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCC(C(=O)O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCc1cncc(O)c1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCC(C(=O)O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCCc1cncc(O)c1,0.46118152141571045,0.46118152,0.46118152,-6.109311
CCOc1nc(-c2cccc(-c3cccc(-c4ccc(CNC5CC(C)(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CCCC(C(N)=O)C1,,CCOc1nc(-c2cccc(-c3cccc(-c4ccc(CNC5CC(C)(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CCCC(C(N)=O)C1,0.4365728199481964,0.43657282,0.43657282,-6.48607
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C(C)N)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CC(O)C1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C(C)N)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CC(O)C1,0.44966137409210205,0.44966137,0.44966137,-6.2856846
